"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2018",6,6,0,100,0,279533.333333333,1867.83333333333,150.333333333333
"2","01002","2018",1,1,0,100,0,90000,1169,77
"3","01004","2018",116,72,44,62.0689655172414,37.9310344827586,165111.189655172,2032.21551724138,84.3879310344828
"4","01005","2018",9,6,3,66.6666666666667,33.3333333333333,201607.777777778,1940.33333333333,103.666666666667
"5","01006","2018",1,1,0,100,0,258780,2022,128
"6","01007","2018",13,12,1,92.3076923076923,7.69230769230769,183187.692307692,1835.38461538462,103
"7","01008","2018",5,5,0,100,0,217040,1760.2,111.2
"8","01009","2018",1,1,0,100,0,169600,1413,120
"9","01010","2018",8,8,0,100,0,217137.125,2405.75,91.125
"10","01011","2018",1,1,0,100,0,105000,1944,54
"11","01012","2018",1,1,0,100,0,40000,645,62
"12","01013","2018",2,2,0,100,0,106025,885.5,118
"13","01014","2018",12,10,2,83.3333333333333,16.6666666666667,160210.416666667,1660.33333333333,99.5
"14","01015","2018",4,4,0,100,0,142100,1168,113.25
"15","01017","2018",3,3,0,100,0,69200,914,77.3333333333333
"16","01021","2018",6,6,0,100,0,193841.666666667,2035.33333333333,104.5
"17","01022","2018",10,8,2,80,20,112200,1206.5,100.7
"18","01024","2018",21,15,6,71.4285714285714,28.5714285714286,171916.666666667,1857.38095238095,91.9523809523809
"19","01025","2018",19,19,0,100,0,234645.526315789,1955.78947368421,119.526315789474
"20","01026","2018",3,3,0,100,0,167359.666666667,1513,113.333333333333
"21","01027","2018",12,9,3,75,25,238041.333333333,2449.25,99.75
"22","01028","2018",5,5,0,100,0,202040,2255.8,98.2
"23","01029","2018",4,4,0,100,0,98875,1085.5,99.25
"24","01030","2018",5,4,1,80,20,190500,2039.2,91.6
"25","01031","2018",16,4,12,25,75,90137.5,1193.1875,72.625
"26","01032","2018",23,20,3,86.9565217391304,13.0434782608696,251285.217391304,2285.26086956522,114.695652173913
"27","01033","2018",115,36,79,31.304347826087,68.695652173913,173850.513043478,2229.84347826087,76.7739130434783
"28","01034","2018",61,37,24,60.655737704918,39.344262295082,163399.426229508,1755.32786885246,92.9344262295082
"29","01035","2018",3,3,0,100,0,174333.333333333,1604.66666666667,104.333333333333
"30","01036","2018",9,9,0,100,0,168338.888888889,1751.66666666667,93.7777777777778
"31","01037","2018",5,5,0,100,0,126800,1169.2,104
"32","01038","2018",7,7,0,100,0,158345.714285714,1637,104.285714285714
"33","01039","2018",3,3,0,100,0,152200,2424,90.3333333333333
"34","01040","2018",2,2,0,100,0,75750,631.5,115.5
"35","01041","2018",8,8,0,100,0,107953.75,1494.75,79
"36","01043","2018",28,20,8,71.4285714285714,28.5714285714286,316388.642857143,3143.14285714286,100.964285714286
"37","01044","2018",2,2,0,100,0,257225,1697,150.5
"38","01045","2018",2,2,0,100,0,366000,2382.5,154.5
"39","01046","2018",3,3,0,100,0,196686.666666667,1808.33333333333,110.333333333333
"40","01047","2018",5,5,0,100,0,244890,2350.6,105.2
"41","01049","2018",18,16,2,88.8888888888889,11.1111111111111,298525.5,2862.16666666667,105.888888888889
"42","01052","2018",5,5,0,100,0,216060,2047.8,106
"43","01053","2018",263,65,198,24.7148288973384,75.2851711026616,125998.771863118,1614.54752851711,77.4448669201521
"44","01054","2018",5,5,0,100,0,240492,2137.6,115
"45","01056","2018",2,2,0,100,0,39750,567.5,77
"46","01057","2018",2,2,0,100,0,110500,1799,58
"47","01058","2018",5,5,0,100,0,182220,1592.2,110.2
"48","01060","2018",3,2,1,66.6666666666667,33.3333333333333,123580,938.333333333333,133.333333333333
"49","01061","2018",3,3,0,100,0,236266.666666667,1961.33333333333,122
"50","01062","2018",4,4,0,100,0,355682.5,2651.25,136
"51","01063","2018",1,1,0,100,0,200150,1528,131
"52","01064","2018",11,10,1,90.9090909090909,9.09090909090909,160290.454545455,1541,107.363636363636
"53","01065","2018",12,10,2,83.3333333333333,16.6666666666667,181423.666666667,2046.08333333333,92.5833333333333
"54","01068","2018",2,2,0,100,0,163000,1449,116
"55","01069","2018",11,9,2,81.8181818181818,18.1818181818182,158665.454545455,1605.90909090909,98.5454545454545
"56","01071","2018",39,20,19,51.2820512820513,48.7179487179487,430258.179487179,4131.53846153846,101.051282051282
"57","01072","2018",14,13,1,92.8571428571429,7.14285714285714,200332.857142857,1865.28571428571,105.214285714286
"58","01073","2018",3,3,0,100,0,114000,1329.66666666667,81.3333333333333
"59","01074","2018",26,15,11,57.6923076923077,42.3076923076923,174382.230769231,2043.69230769231,86.7692307692308
"60","01075","2018",11,7,4,63.6363636363636,36.3636363636364,187168.636363636,2138,82.9090909090909
"61","01076","2018",2,2,0,100,0,94200,867,110
"62","01077","2018",2,2,0,100,0,116935,1004.5,106
"63","01078","2018",9,8,1,88.8888888888889,11.1111111111111,442796.666666667,4249.88888888889,101
"64","01079","2018",6,5,1,83.3333333333333,16.6666666666667,151091.666666667,1401.83333333333,107.166666666667
"65","01080","2018",1,1,0,100,0,245100,2228,110
"66","01081","2018",5,3,2,60,40,182500,1536.6,111
"67","01082","2018",2,1,1,50,50,123500,1367.5,89.5
"68","01083","2018",4,4,0,100,0,202029.75,2251,85.25
"69","01084","2018",5,5,0,100,0,222936,2135.4,102.6
"70","01085","2018",3,3,0,100,0,170433.333333333,1772,96.6666666666667
"71","01087","2018",2,2,0,100,0,52500,810.5,79
"72","01088","2018",9,9,0,100,0,261316.666666667,2353.55555555556,109.777777777778
"73","01089","2018",20,20,0,100,0,199444.5,2076.85,94.3
"74","01090","2018",4,4,0,100,0,189900,1829.5,105.25
"75","01092","2018",16,16,0,100,0,214955.625,2433.5,89.375
"76","01093","2018",44,15,29,34.0909090909091,65.9090909090909,178003.409090909,2209.15909090909,81.4772727272727
"77","01094","2018",4,4,0,100,0,125087.5,1534.25,91.75
"78","01095","2018",5,5,0,100,0,112628.4,1441.6,79.2
"79","01096","2018",3,3,0,100,0,160400,2007.66666666667,82.6666666666667
"80","01098","2018",9,8,1,88.8888888888889,11.1111111111111,175122.222222222,1637,106.555555555556
"81","01099","2018",8,8,0,100,0,262280,2226.5,122.875
"82","01100","2018",1,1,0,100,0,60000,822,73
"83","01101","2018",2,2,0,100,0,158850,1675.5,94.5
"84","01102","2018",7,7,0,100,0,142060,1166.14285714286,122.285714285714
"85","01103","2018",13,7,6,53.8461538461538,46.1538461538462,448835.846153846,3986.23076923077,112.384615384615
"86","01104","2018",2,2,0,100,0,158750,1630,105
"87","01105","2018",9,8,1,88.8888888888889,11.1111111111111,261611.111111111,2795.33333333333,100.666666666667
"88","01106","2018",1,1,0,100,0,96000,1247,77
"89","01107","2018",1,1,0,100,0,70000,1167,60
"90","01108","2018",11,10,1,90.9090909090909,9.09090909090909,121320,1281.72727272727,105.545454545455
"91","01109","2018",16,13,3,81.25,18.75,340924.1875,3511.4375,101.4375
"92","01110","2018",3,3,0,100,0,65000,883.333333333333,76.3333333333333
"93","01111","2018",1,1,0,100,0,44200,921,48
"94","01112","2018",4,3,1,75,25,166425,1636.25,95.5
"95","01113","2018",4,4,0,100,0,158750,1939.25,74.75
"96","01114","2018",2,2,0,100,0,315000,2891,105.5
"97","01115","2018",5,5,0,100,0,164900,1758,102.6
"98","01116","2018",3,3,0,100,0,120793.333333333,1127.66666666667,102.333333333333
"99","01117","2018",1,1,0,100,0,193000,1313,147
"100","01118","2018",10,8,2,80,20,218396.7,2251.2,97.8
"101","01123","2018",4,4,0,100,0,204425,1751.25,116.75
"102","01124","2018",5,5,0,100,0,118806,1257,88.2
