INSEE_COM,annee,nb_mutations,NbMaisons,NbApparts,PropMaison,PropAppart,PrixMoyen,Prixm2Moyen,SurfaceMoy
01001,2024,4,4,0,0,100,290575,3258,96
01002,2024,2,2,0,0,100,267500,1942,140
01004,2024,133,70,63,47,53,194332,2323,83
01005,2024,47,16,31,66,34,228481,2711,85
01007,2024,24,24,0,0,100,223065,2322,95
01008,2024,10,10,0,0,100,239000,2431,100
01009,2024,10,9,1,10,90,234210,2084,117
01010,2024,10,10,0,0,100,242510,2437,98
01011,2024,1,1,0,0,100,209000,1384,151
01012,2024,2,2,0,0,100,71250,1029,76
01013,2024,3,3,0,0,100,118000,1912,71
01014,2024,17,9,8,47,53,199952,2471,93
01015,2024,5,5,0,0,100,203560,1706,116
01016,2024,3,3,0,0,100,203770,2141,96
01017,2024,13,12,1,8,92,104308,1154,95
01019,2024,1,1,0,0,100,150000,1705,88
01021,2024,9,7,2,22,78,277627,2811,100
01022,2024,21,21,0,0,100,197651,2013,99
01023,2024,1,1,0,0,100,276300,2047,135
01024,2024,28,25,3,11,89,239011,2318,100
01025,2024,31,30,1,3,97,190972,1874,104
01026,2024,10,10,0,0,100,203533,2157,92
01027,2024,17,11,6,35,65,280812,3195,87
01028,2024,7,7,0,0,100,269857,2520,106
01029,2024,11,11,0,0,100,170455,1570,108
01030,2024,10,8,2,20,80,230252,2537,91
01031,2024,31,12,19,61,39,135869,1667,75
01032,2024,23,16,7,30,70,310777,2789,113
01033,2024,206,74,132,64,36,214460,2576,83
01034,2024,93,51,42,45,55,167930,2005,86
01036,2024,23,22,1,4,96,223335,2073,111
01037,2024,3,3,0,0,100,110667,1545,101
01038,2024,8,8,0,0,100,168275,1621,110
01040,2024,2,2,0,0,100,349950,2518,139
01041,2024,10,10,0,0,100,153400,1665,92
01042,2024,3,3,0,0,100,333138,2643,129
01043,2024,52,40,12,23,77,390978,3428,118
01044,2024,7,6,1,14,86,298729,4062,96
01045,2024,1,1,0,0,100,265000,3487,76
01046,2024,4,4,0,0,100,294750,2534,121
01047,2024,10,10,0,0,100,341822,2953,115
01049,2024,26,22,4,15,85,335851,2900,121
01050,2024,6,6,0,0,100,217505,1950,115
01051,2024,3,3,0,0,100,106000,1140,81
01052,2024,1,1,0,0,100,326500,2744,119
01053,2024,521,106,415,80,20,151840,2083,73
01054,2024,16,16,0,0,100,306256,2777,114
01056,2024,5,5,0,0,100,93128,1364,73
01057,2024,6,6,0,0,100,133333,2048,73
01058,2024,14,13,1,7,93,179081,1976,93
01060,2024,10,10,0,0,100,144968,1196,140
01061,2024,6,5,1,17,83,242150,1970,138
01062,2024,9,9,0,0,100,341733,3084,116
01063,2024,4,4,0,0,100,308125,2354,142
01064,2024,15,15,0,0,100,217911,2257,101
01065,2024,13,11,2,15,85,264546,2311,117
01066,2024,1,1,0,0,100,96400,1555,62
01067,2024,1,1,0,0,100,262000,1317,199
01068,2024,6,6,0,0,100,147633,1286,124
01069,2024,10,6,4,40,60,187921,2650,71
01071,2024,48,27,21,44,56,537799,5160,106
01072,2024,24,22,2,8,92,291358,2721,104
01073,2024,16,16,0,0,100,189406,2129,95
01074,2024,27,19,8,30,70,215540,2269,92
01075,2024,10,9,1,10,90,312787,3212,114
01076,2024,2,2,0,0,100,130500,1395,92
01077,2024,4,4,0,0,100,211625,1884,114
01078,2024,13,9,4,31,69,412087,4001,104
01079,2024,7,7,0,0,100,236857,1877,131
01080,2024,5,5,0,0,100,132562,1594,87
01081,2024,5,5,0,0,100,194500,1792,118
01082,2024,7,6,1,14,86,263714,3016,84
01083,2024,7,7,0,0,100,271657,2471,111
01084,2024,10,10,0,0,100,267050,2386,113
01085,2024,4,4,0,0,100,329715,2361,138
01087,2024,5,5,0,0,100,207000,2106,107
01088,2024,6,5,1,17,83,297950,3206,95
01089,2024,23,21,2,9,91,206618,2308,89
01090,2024,4,4,0,0,100,292626,2469,122
01092,2024,23,22,1,4,96,264913,2753,95
01093,2024,49,24,25,51,49,243823,2713,94
01094,2024,9,9,0,0,100,175668,1644,109
01095,2024,5,5,0,0,100,151200,1653,95
01096,2024,5,5,0,0,100,239352,2350,102
01098,2024,13,11,2,15,85,183258,2015,91
01099,2024,12,12,0,0,100,270417,2444,116
01101,2024,1,1,0,0,100,120000,667,180
01102,2024,3,3,0,0,100,225005,2253,102
01103,2024,30,15,15,50,50,521926,4900,110
01104,2024,7,5,2,29,71,171429,2255,76
01105,2024,12,10,2,17,83,337641,3400,105
01106,2024,3,3,0,0,100,121000,1804,67
01107,2024,1,1,0,0,100,147000,1312,112
01108,2024,16,14,2,12,88,135095,1568,96
01109,2024,33,24,9,27,73,410026,4143,99
01110,2024,3,3,0,0,100,192667,1276,154
01111,2024,1,1,0,0,100,220000,1692,130
01112,2024,3,3,0,0,100,185000,2184,85
01113,2024,7,7,0,0,100,275429,2824,100
01114,2024,4,3,1,25,75,345313,3612,98
01115,2024,10,9,1,10,90,224929,1997,112
01116,2024,7,7,0,0,100,178143,1451,126
01117,2024,1,1,0,0,100,129000,1142,113
01118,2024,17,16,1,6,94,322615,3249,104
01123,2024,8,8,0,0,100,302110,2154,136
01124,2024,7,7,0,0,100,203556,1943,101
01125,2024,8,8,0,0,100,203220,1719,118
01127,2024,3,3,0,0,100,173333,1506,119
01128,2024,4,4,0,0,100,175375,1577,111
01129,2024,2,2,0,0,100,221500,1758,121
01130,2024,21,21,0,0,100,216357,2134,113
01133,2024,2,1,1,50,50,192500,1290,152
01134,2024,14,12,2,14,86,215328,2111,103
01135,2024,23,15,8,35,65,518865,4825,107
01136,2024,9,9,0,0,100,281478,2019,152
01138,2024,33,23,10,30,70,167801,1954,86
01139,2024,9,9,0,0,100,169389,1366,127
01140,2024,4,4,0,0,100,357500,3231,100
01141,2024,8,8,0,0,100,286996,2347,126
01142,2024,36,24,12,33,67,269574,2780,101
01143,2024,167,39,128,77,23,615064,5989,100
01145,2024,8,8,0,0,100,293438,2615,113
01146,2024,6,6,0,0,100,188883,1721,118
01147,2024,3,3,0,0,100,199400,1738,120
01148,2024,15,14,1,7,93,200039,2182,95
01149,2024,8,7,1,12,88,281268,2646,101
01150,2024,3,3,0,0,100,186103,1639,112
01151,2024,10,10,0,0,100,253400,1997,132
01152,2024,4,4,0,0,100,341250,2737,120
01153,2024,22,19,3,14,86,657260,5073,129
01156,2024,4,4,0,0,100,389186,3634,109
01157,2024,40,38,2,5,95,337529,2936,116
01158,2024,11,8,3,27,73,344327,3862,92
01159,2024,26,23,3,12,88,184098,2106,94
01160,2024,166,17,149,90,10,357007,4829,75
01162,2024,1,1,0,0,100,150000,1852,81
01163,2024,21,19,2,10,90,189595,1932,98
01165,2024,16,16,0,0,100,316073,3151,109
01166,2024,25,20,5,20,80,323908,3188,107
01167,2024,4,4,0,0,100,348698,2537,171
01169,2024,2,2,0,0,100,336300,3148,108
01170,2024,7,7,0,0,100,205286,1956,113
01171,2024,1,1,0,0,100,235000,2423,97
01173,2024,187,45,142,76,24,342607,4533,75
01174,2024,4,3,1,25,75,292475,4885,112
01175,2024,8,8,0,0,100,264594,2292,114
01177,2024,2,1,1,50,50,67642,1370,48
01179,2024,14,14,0,0,100,220330,2237,102
01180,2024,11,7,4,36,64,715577,6141,117
01181,2024,8,8,0,0,100,263999,2209,122
01183,2024,8,8,0,0,100,224353,2409,92
01184,2024,12,12,0,0,100,170583,2535,97
01185,2024,39,33,6,15,85,151811,1749,93
01187,2024,9,7,2,22,78,151308,1968,84
01188,2024,3,3,0,0,100,179667,1896,96
01189,2024,7,6,1,14,86,260571,2005,142
01190,2024,3,3,0,0,100,243643,1368,198
01191,2024,3,3,0,0,100,144667,1460,134
01192,2024,9,9,0,0,100,204889,2267,91
01193,2024,3,3,0,0,100,262333,2773,95
01194,2024,56,31,25,45,55,252764,2944,86
01195,2024,25,23,2,8,92,236655,2282,104
01196,2024,14,13,1,7,93,186743,1996,94
01197,2024,4,4,0,0,100,214250,2298,94
01199,2024,20,19,1,5,95,159400,1664,95
01200,2024,2,2,0,0,100,191000,1567,128
01202,2024,85,44,41,48,52,197966,2262,90
01203,2024,6,6,0,0,100,222423,2214,107
01204,2024,6,6,0,0,100,201497,1910,111
01206,2024,2,1,1,50,50,170500,1688,84
01207,2024,2,2,0,0,100,155000,2595,60
01209,2024,8,7,1,12,88,313899,3086,117
01210,2024,19,2,17,89,11,138588,2424,47
01211,2024,8,7,1,12,88,223425,2241,97
01212,2024,11,10,1,9,91,141936,1398,106
01213,2024,12,11,1,8,92,226097,2647,85
01214,2024,1,1,0,0,100,855420,2940,291
01215,2024,1,1,0,0,100,443000,2786,159
01216,2024,8,8,0,0,100,199332,2206,91
01219,2024,1,1,0,0,100,191630,1843,104
01224,2024,23,18,5,22,78,243478,2306,108
01225,2024,4,4,0,0,100,438812,3392,126
01227,2024,7,7,0,0,100,203986,2107,95
01228,2024,3,2,1,33,67,212280,3225,75
01229,2024,12,12,0,0,100,210904,1960,112
01230,2024,4,4,0,0,100,237625,1688,147
01231,2024,17,17,0,0,100,236734,2251,106
01232,2024,20,18,2,10,90,225602,2046,111
01233,2024,1,1,0,0,100,217750,1502,145
01234,2024,1,1,0,0,100,318000,1590,200
01235,2024,8,7,1,12,88,208075,1942,101
01236,2024,12,10,2,17,83,168233,1588,108
01237,2024,11,4,7,64,36,148746,1852,78
01238,2024,27,24,3,11,89,340671,3235,107
01239,2024,7,7,0,0,100,240370,1919,116
01240,2024,15,15,0,0,100,185289,2257,93
01241,2024,9,9,0,0,100,285897,2497,119
01242,2024,1,1,0,0,100,135000,1500,90
01243,2024,8,8,0,0,100,298912,3096,100
01244,2024,74,43,31,42,58,272511,2888,93
01245,2024,4,4,0,0,100,128750,1246,112
01246,2024,10,10,0,0,100,180605,1904,94
01247,2024,21,5,16,76,24,92905,2714,40
01248,2024,23,15,8,35,65,299840,3491,88
01249,2024,97,53,44,45,55,302801,3275,90
01250,2024,18,18,0,0,100,313750,2991,108
01252,2024,6,6,0,0,100,273500,2745,101
01254,2024,13,13,0,0,100,333538,2888,113
01255,2024,4,4,0,0,100,182875,2021,102
01258,2024,7,7,0,0,100,265569,2082,125
01259,2024,7,7,0,0,100,219286,2061,108
01260,2024,1,1,0,0,100,295047,2049,144
01261,2024,7,7,0,0,100,392501,3039,129
01262,2024,61,29,32,52,48,229064,2681,84
01263,2024,36,29,7,19,81,280814,2828,99
01264,2024,5,5,0,0,100,271079,2365,122
01265,2024,25,18,7,28,72,197736,2032,95
01266,2024,22,11,11,50,50,171019,2017,88
01267,2024,2,2,0,0,100,149000,984,134
01268,2024,2,1,1,50,50,370000,4028,104
01269,2024,32,9,23,72,28,107500,1234,95
01272,2024,14,13,1,7,93,211139,2118,100
01273,2024,18,18,0,0,100,218897,2102,104
01274,2024,7,7,0,0,100,191286,2466,85
01275,2024,26,21,5,19,81,505727,4093,122
01276,2024,13,13,0,0,100,377071,3321,116
01277,2024,3,3,0,0,100,100667,1450,70
01279,2024,3,3,0,0,100,116833,1304,89
01280,2024,3,2,1,33,67,122927,1957,67
01281,2024,49,16,33,67,33,469042,5232,89
01282,2024,3,3,0,0,100,136667,1621,80
01283,2024,154,59,95,62,38,130659,1564,82
01284,2024,6,6,0,0,100,211736,2463,86
01285,2024,6,5,1,17,83,335758,3662,90
01286,2024,7,7,0,0,100,299211,2629,117
01288,2024,35,14,21,60,40,375230,4132,97
01289,2024,69,40,29,42,58,202402,2253,90
01290,2024,9,7,2,22,78,274889,3117,89
01291,2024,5,5,0,0,100,137800,1590,85
01293,2024,3,3,0,0,100,238340,1981,129
01294,2024,11,11,0,0,100,204909,2126,96
01295,2024,6,6,0,0,100,229625,2006,116
01296,2024,1,1,0,0,100,150000,1596,94
01297,2024,9,9,0,0,100,265649,2391,116
01298,2024,1,1,0,0,100,72000,2880,25
01299,2024,4,3,1,25,75,266250,2409,100
01301,2024,22,21,1,5,95,293210,2471,118
01302,2024,1,1,0,0,100,291060,3308,88
01303,2024,26,23,3,12,88,144281,1740,91
01304,2024,30,23,7,23,77,177910,2016,90
01305,2024,34,22,12,35,65,150266,1700,94
01306,2024,12,7,5,42,58,190898,1940,88
01307,2024,7,2,5,71,29,194143,2272,77
01308,2024,11,9,2,18,82,420471,3991,107
01310,2024,1,1,0,0,100,266000,2046,130
01311,2024,2,2,0,0,100,168500,1735,98
01313,2024,110,52,58,53,47,534564,5391,100
01314,2024,17,17,0,0,100,211676,2198,97
01317,2024,6,6,0,0,100,173833,1734,101
01318,2024,11,11,0,0,100,337300,2854,123
01319,2024,4,4,0,0,100,289510,2816,102
01320,2024,25,23,2,8,92,237283,2211,111
01321,2024,8,7,1,12,88,243162,1979,120
01322,2024,38,35,3,8,92,389938,3275,120
01323,2024,10,10,0,0,100,182542,1912,104
01325,2024,3,3,0,0,100,242333,4762,62
01328,2024,6,5,1,17,83,205261,2574,80
01329,2024,2,2,0,0,100,87500,1203,74
01331,2024,3,3,0,0,100,177333,1646,107
01332,2024,9,9,0,0,100,319830,2582,130
01333,2024,30,20,10,33,67,305600,3538,94
01334,2024,7,7,0,0,100,248997,2073,114
01335,2024,2,2,0,0,100,295000,2466,120
01336,2024,8,7,1,12,88,204615,2017,102
01337,2024,7,7,0,0,100,236102,2123,109
01338,2024,11,11,0,0,100,195409,1875,101
01339,2024,13,13,0,0,100,480808,4097,123
01342,2024,7,6,1,14,86,329614,3163,112
01343,2024,15,15,0,0,100,215655,2354,92
01344,2024,55,41,14,25,75,223329,2196,106
01345,2024,26,23,3,12,88,171806,2144,81
01346,2024,7,7,0,0,100,177743,1900,100
01347,2024,15,14,1,7,93,471934,5015,104
01348,2024,30,24,6,20,80,201233,2022,98
01349,2024,4,4,0,0,100,345375,3306,107
01350,2024,18,16,2,11,89,184542,2088,90
01351,2024,10,9,1,10,90,212006,2035,109
01352,2024,7,7,0,0,100,143434,1261,119
01353,2024,16,16,0,0,100,377944,3239,119
01354,2024,156,44,112,72,28,431538,4702,92
01355,2024,8,8,0,0,100,212677,1982,119
01356,2024,2,2,0,0,100,392600,3092,130
01357,2024,7,6,1,14,86,171829,1724,109
01358,2024,3,3,0,0,100,207333,1973,114
01359,2024,2,2,0,0,100,105000,2066,54
01360,2024,23,15,8,35,65,439926,4413,106
01361,2024,29,25,4,14,86,332583,3093,110
01362,2024,8,7,1,12,88,316739,3433,96
01363,2024,12,11,1,8,92,227583,2348,109
01364,2024,7,7,0,0,100,217371,2068,125
01365,2024,12,12,0,0,100,257599,2150,120
01366,2024,6,5,1,17,83,300450,2799,108
01367,2024,12,12,0,0,100,159479,1852,86
01368,2024,9,9,0,0,100,300079,2227,144
01369,2024,6,4,2,33,67,221333,1780,135
01370,2024,31,3,28,90,10,111876,1651,69
01371,2024,7,6,1,14,86,319100,3232,98
01372,2024,2,2,0,0,100,192500,1927,102
01373,2024,8,6,2,25,75,204329,1799,106
01374,2024,28,28,0,0,100,248136,2205,117
01375,2024,10,10,0,0,100,335390,2018,165
01376,2024,40,15,25,62,38,247627,2872,86
01378,2024,19,18,1,5,95,334458,3421,101
01379,2024,8,7,1,12,88,229844,2581,93
01380,2024,5,5,0,0,100,178626,1870,112
01381,2024,11,11,0,0,100,305776,2902,109
01382,2024,2,2,0,0,100,409000,2690,176
01383,2024,8,8,0,0,100,272125,2289,124
01384,2024,20,12,8,40,60,109479,1337,82
01385,2024,8,5,3,38,62,232560,2258,100
01386,2024,14,12,2,14,86,227821,2163,102
01387,2024,1,1,0,0,100,138500,1505,92
01388,2024,10,10,0,0,100,166650,1778,102
01389,2024,11,8,3,27,73,224318,2516,88
01390,2024,16,16,0,0,100,282720,2932,96
01391,2024,4,4,0,0,100,143498,1848,74
01392,2024,6,6,0,0,100,171817,1689,100
01393,2024,4,4,0,0,100,310000,3336,125
01396,2024,11,9,2,18,82,197625,2092,93
01397,2024,13,10,3,23,77,733022,5080,142
01398,2024,16,12,4,25,75,315844,2727,112
01399,2024,26,17,9,35,65,547367,5081,110
01400,2024,1,1,0,0,100,50000,625,80
01401,2024,27,19,8,30,70,619651,5304,118
01402,2024,6,6,0,0,100,200525,2149,96
01403,2024,14,12,2,14,86,176682,2158,85
01404,2024,2,2,0,0,100,150000,3489,43
01405,2024,12,11,1,8,92,221709,2085,109
01406,2024,1,1,0,0,100,197000,2165,91
01407,2024,11,8,3,27,73,242236,2954,90
01408,2024,7,7,0,0,100,160929,1410,111
01411,2024,2,2,0,0,100,151500,1561,91
01412,2024,6,6,0,0,100,264504,3527,92
01415,2024,3,2,1,33,67,188957,2751,68
01416,2024,16,14,2,12,88,111550,1450,79
01418,2024,7,7,0,0,100,325933,4025,83
01419,2024,64,35,29,45,55,498397,4922,101
01420,2024,22,4,18,82,18,118501,1589,71
01421,2024,10,10,0,0,100,167490,1909,91
01422,2024,13,9,4,31,69,187622,2093,92
01423,2024,6,6,0,0,100,442705,3526,126
01424,2024,13,12,1,8,92,447490,3919,113
01425,2024,1,1,0,0,100,390000,1548,252
01426,2024,22,22,0,0,100,203997,1964,113
01427,2024,63,33,30,48,52,277397,3028,92
01428,2024,3,3,0,0,100,483333,2871,161
01429,2024,5,5,0,0,100,210000,2193,93
01430,2024,4,4,0,0,100,173927,1798,91
01431,2024,20,19,1,5,95,204908,2457,83
01432,2024,1,1,0,0,100,450000,1860,242
01433,2024,4,4,0,0,100,199396,1986,102
01434,2024,1,1,0,0,100,199000,1970,101
01435,2024,20,15,5,25,75,558396,5083,110
01436,2024,2,1,1,50,50,511180,6184,80
01437,2024,1,1,0,0,100,218000,2344,93
01441,2024,1,1,0,0,100,120000,839,143
01443,2024,48,34,14,29,71,236611,2681,91
01444,2024,13,13,0,0,100,232950,1896,117
01445,2024,7,6,1,14,86,140729,1676,84
01446,2024,4,4,0,0,100,353938,2748,130
01447,2024,8,8,0,0,100,176750,1713,103
01448,2024,4,4,0,0,100,326212,2736,114
01449,2024,8,8,0,0,100,335975,3156,108
01450,2024,48,42,6,12,88,261275,2785,99
01451,2024,48,42,6,12,88,250555,2412,104
01452,2024,22,15,7,32,68,155371,1625,95
01453,2024,6,6,0,0,100,139648,1453,90
01454,2024,8,6,2,25,75,272475,2687,101
01457,2024,42,31,11,26,74,212204,2301,105
02001,2024,6,6,0,0,100,92350,950,96
02002,2024,7,7,0,0,100,126421,1382,101
02003,2024,11,11,0,0,100,153089,1481,108
02004,2024,2,2,0,0,100,91000,834,95
02005,2024,4,4,0,0,100,234866,1960,124
02006,2024,1,1,0,0,100,162000,1500,108
02008,2024,3,3,0,0,100,93833,1295,84
02009,2024,2,2,0,0,100,115000,954,120
02010,2024,1,1,0,0,100,170000,1429,119
02011,2024,14,14,0,0,100,206550,1959,104
02012,2024,1,1,0,0,100,172500,701,246
02013,2024,2,2,0,0,100,139325,1462,96
02014,2024,10,10,0,0,100,151040,1558,101
02015,2024,2,2,0,0,100,523460,2336,196
02016,2024,2,2,0,0,100,111325,1102,104
02017,2024,1,1,0,0,100,50000,833,60
02018,2024,28,28,0,0,100,118623,1403,85
02019,2024,2,2,0,0,100,106000,1602,64
02020,2024,6,6,0,0,100,121242,888,130
02022,2024,4,4,0,0,100,88500,1233,70
02025,2024,3,3,0,0,100,148667,1392,109
02027,2024,8,8,0,0,100,151469,1165,135
02028,2024,26,26,0,0,100,135515,1463,93
02029,2024,2,2,0,0,100,121000,1255,103
02030,2024,4,4,0,0,100,140225,1278,111
02031,2024,5,5,0,0,100,60578,691,94
02032,2024,2,2,0,0,100,124500,1254,100
02034,2024,2,2,0,0,100,58950,844,79
02035,2024,4,4,0,0,100,193050,1392,151
02036,2024,1,1,0,0,100,27000,509,53
02037,2024,12,12,0,0,100,144348,1316,113
02039,2024,1,1,0,0,100,144000,766,188
02040,2024,1,1,0,0,100,91000,611,149
02041,2024,8,8,0,0,100,168000,1631,99
02042,2024,3,3,0,0,100,157333,2046,79
02043,2024,1,1,0,0,100,80000,1333,60
02044,2024,1,1,0,0,100,43500,580,75
02046,2024,6,6,0,0,100,137658,1139,125
02047,2024,1,1,0,0,100,61000,343,178
