index,Zas,Year,Month,Quarter,ATMO_month,ATMO_quarter
0,ZAG AVIGNON,2021,1,1,2,3
1,ZAG AVIGNON,2021,2,1,3,3
2,ZAG AVIGNON,2021,3,1,3,3
3,ZAG AVIGNON,2021,4,2,1,2
4,ZAG AVIGNON,2021,5,2,1,2
5,ZAG AVIGNON,2021,6,2,2,2
6,ZAG AVIGNON,2021,7,3,1,2
7,ZAG AVIGNON,2021,8,3,1,2
8,ZAG AVIGNON,2021,9,3,2,2
9,ZAG AVIGNON,2021,10,4,2,4
10,ZAG AVIGNON,2021,11,4,2,4
11,ZAG AVIGNON,2021,12,4,4,4
12,ZAG BLDV,2021,1,1,4,4
13,ZAG BLDV,2021,2,1,2,4
14,ZAG BLDV,2021,3,1,3,4
15,ZAG BLDV,2021,4,2,3,3
16,ZAG BLDV,2021,5,2,1,3
17,ZAG BLDV,2021,6,2,2,3
18,ZAG BLDV,2021,7,3,2,2
19,ZAG BLDV,2021,8,3,2,2
20,ZAG BLDV,2021,9,3,2,2
21,ZAG BLDV,2021,10,4,2,3
22,ZAG BLDV,2021,11,4,3,3
23,ZAG BLDV,2021,12,4,2,3
24,ZAG BORDEAUX,2021,1,1,4,4
25,ZAG BORDEAUX,2021,2,1,2,4
26,ZAG BORDEAUX,2021,3,1,2,4
27,ZAG BORDEAUX,2021,4,2,1,1
28,ZAG BORDEAUX,2021,5,2,0,1
29,ZAG BORDEAUX,2021,6,2,0,1
30,ZAG BORDEAUX,2021,7,3,0,1
31,ZAG BORDEAUX,2021,8,3,0,1
32,ZAG BORDEAUX,2021,9,3,1,1
33,ZAG BORDEAUX,2021,10,4,2,4
34,ZAG BORDEAUX,2021,11,4,3,4
35,ZAG BORDEAUX,2021,12,4,4,4
36,ZAG CLERMONT-FERRAND,2021,1,1,2,2
37,ZAG CLERMONT-FERRAND,2021,2,1,2,2
38,ZAG CLERMONT-FERRAND,2021,3,1,2,2
39,ZAG CLERMONT-FERRAND,2021,4,2,1,2
40,ZAG CLERMONT-FERRAND,2021,5,2,2,2
41,ZAG CLERMONT-FERRAND,2021,6,2,1,2
42,ZAG CLERMONT-FERRAND,2021,7,3,1,1
43,ZAG CLERMONT-FERRAND,2021,8,3,1,1
44,ZAG CLERMONT-FERRAND,2021,9,3,1,1
45,ZAG CLERMONT-FERRAND,2021,10,4,0,3
46,ZAG CLERMONT-FERRAND,2021,11,4,2,3
47,ZAG CLERMONT-FERRAND,2021,12,4,3,3
48,ZAG GRENOBLE,2021,1,1,3,4
49,ZAG GRENOBLE,2021,2,1,4,4
50,ZAG GRENOBLE,2021,3,1,2,4
51,ZAG GRENOBLE,2021,4,2,1,2
52,ZAG GRENOBLE,2021,5,2,1,2
53,ZAG GRENOBLE,2021,6,2,2,2
54,ZAG GRENOBLE,2021,7,3,1,1
55,ZAG GRENOBLE,2021,8,3,0,1
56,ZAG GRENOBLE,2021,9,3,0,1
57,ZAG GRENOBLE,2021,10,4,1,3
58,ZAG GRENOBLE,2021,11,4,2,3
59,ZAG GRENOBLE,2021,12,4,3,3
60,ZAG LILLE,2021,1,1,3,4
61,ZAG LILLE,2021,2,1,2,4
62,ZAG LILLE,2021,3,1,4,4
63,ZAG LILLE,2021,4,2,3,3
64,ZAG LILLE,2021,5,2,2,3
65,ZAG LILLE,2021,6,2,2,3
66,ZAG LILLE,2021,7,3,2,2
67,ZAG LILLE,2021,8,3,0,2
68,ZAG LILLE,2021,9,3,2,2
69,ZAG LILLE,2021,10,4,3,3
