INSEECOM,commune,zas,code_region
01001,Thor (Le),ZAG AVIGNON,84
84001,Althen-des-Paluds,ZAG AVIGNON,93
84004,Aubignan,ZAG AVIGNON,93
84007,Avignon,ZAG AVIGNON,93
13010,Barbentane,ZAG AVIGNON,93
84012,Beaumes-de-Venise,ZAG AVIGNON,93
84013,Beaumettes,ZAG AVIGNON,93
84019,Bollène,ZAG AVIGNON,93
84016,Bédarrides,ZAG AVIGNON,93
13018,Cabannes,ZAG AVIGNON,93
84025,Cabrières-d'Avignon,ZAG AVIGNON,93
84027,Caderousse,ZAG AVIGNON,93
84030,Caromb,ZAG AVIGNON,93
84031,Carpentras,ZAG AVIGNON,93
84034,Caumont-sur-Durance,ZAG AVIGNON,93
84035,Cavaillon,ZAG AVIGNON,93
84038,Cheval-Blanc,ZAG AVIGNON,93
84036,Châteauneuf-de-Gadagne,ZAG AVIGNON,93
84037,Châteauneuf-du-Pape,ZAG AVIGNON,93
13027,Châteaurenard,ZAG AVIGNON,93
84039,Courthézon,ZAG AVIGNON,93
84043,Entraigues-sur-la-Sorgue,ZAG AVIGNON,93
13034,Eygalières,ZAG AVIGNON,93
13036,Eyragues,ZAG AVIGNON,93
84139,Fontaine-de-Vaucluse,ZAG AVIGNON,93
84050,Gordes,ZAG AVIGNON,93
84051,Goult,ZAG AVIGNON,93
13045,Graveson,ZAG AVIGNON,93
84055,Jonquerettes,ZAG AVIGNON,93
11176,Jonquières,ZAG AVIGNON,76
84062,Lagnes,ZAG AVIGNON,93
84063,Lamotte-du-Rhône,ZAG AVIGNON,93
84064,Lapalud,ZAG AVIGNON,93
84067,Loriol-du-Comtat,ZAG AVIGNON,93
13052,Maillane,ZAG AVIGNON,93
38223,Maubec,ZAG AVIGNON,84
84072,Mazan,ZAG AVIGNON,93
84077,Modène,ZAG AVIGNON,93
13064,Mollégès,ZAG AVIGNON,93
84078,Mondragon,ZAG AVIGNON,93
84080,Monteux,ZAG AVIGNON,93
84081,Morières-lès-Avignon,ZAG AVIGNON,93
84083,Mornas,ZAG AVIGNON,93
84073,Ménerbes,ZAG AVIGNON,93
13066,Noves,ZAG AVIGNON,93
84086,Oppède,ZAG AVIGNON,93
84087,Orange,ZAG AVIGNON,93
13067,Orgon,ZAG AVIGNON,93
84088,Pernes-les-Fontaines,ZAG AVIGNON,93
84091,Piolenc,ZAG AVIGNON,93
13076,Plan-d'Orgon,ZAG AVIGNON,93
84099,Robion,ZAG AVIGNON,93
13083,Rognonas,ZAG AVIGNON,93
13089,Saint-Andiol,ZAG AVIGNON,93
21546,Saint-Didier,ZAG AVIGNON,27
46285,Saint-Pantaléon,ZAG AVIGNON,76
84119,Saint-Saturnin-lès-Avignon,ZAG AVIGNON,93
84122,Sarrians,ZAG AVIGNON,93
84124,Saumane-de-Vaucluse,ZAG AVIGNON,93
84129,Sorgues,ZAG AVIGNON,93
84131,Taillades,ZAG AVIGNON,93
84141,Vedène,ZAG AVIGNON,93
84142,Velleron,ZAG AVIGNON,93
13116,Verquières,ZAG AVIGNON,93
30351,Villeneuve-lès-Avignon,ZAG AVIGNON,76
64009,Ahetze,ZAG BAYONNE,75
64014,Ainhoa,ZAG BAYONNE,75
64024,Anglet,ZAG BAYONNE,75
64035,Arbonne,ZAG BAYONNE,75
64038,Arcangues,ZAG BAYONNE,75
64065,Ascain,ZAG BAYONNE,75
64100,Bassussarry,ZAG BAYONNE,75
64102,Bayonne,ZAG BAYONNE,75
64122,Biarritz,ZAG BAYONNE,75
64125,Bidart,ZAG BAYONNE,75
64130,Biriatou,ZAG BAYONNE,75
64140,Boucau,ZAG BAYONNE,75
64160,Cambo-les-Bains,ZAG BAYONNE,75
64189,Ciboure,ZAG BAYONNE,75
64213,Espelette,ZAG BAYONNE,75
64249,Guéthary,ZAG BAYONNE,75
64255,Halsou,ZAG BAYONNE,75
64260,Hendaye,ZAG BAYONNE,75
64282,Jatxou,ZAG BAYONNE,75
64304,Lahonce,ZAG BAYONNE,75
64317,Larressore,ZAG BAYONNE,75
64407,Mouguerre,ZAG BAYONNE,75
40248,Saint-André-de-Seignanx,ZAG BAYONNE,75
64483,Saint-Jean-de-Luz,ZAG BAYONNE,75
40273,Saint-Martin-de-Seignanx,ZAG BAYONNE,75
64496,Saint-Pierre-d'Irube,ZAG BAYONNE,75
64495,Saint-Pée-sur-Nivelle,ZAG BAYONNE,75
64504,Sare,ZAG BAYONNE,75
64527,Souraïde,ZAG BAYONNE,75
40312,Tarnos,ZAG BAYONNE,75
64540,Urcuit,ZAG BAYONNE,75
64545,Urrugne,ZAG BAYONNE,75
64547,Ustaritz,ZAG BAYONNE,75
64558,Villefranque,ZAG BAYONNE,75
62001,Ablain-Saint-Nazaire,ZAG BLDV,32
59002,Abscon,ZAG BLDV,32
62003,Acheville,ZAG BLDV,32
62014,Aire-sur-la-Lys,ZAG BLDV,32
62019,Aix-Noulette,ZAG BLDV,32
62023,Allouagne,ZAG BLDV,32
62028,Ames,ZAG BLDV,32
62029,Amettes,ZAG BLDV,32
62032,Angres,ZAG BLDV,32
59007,Anhiers,ZAG BLDV,32
59008,Aniche,ZAG BLDV,32
58007,Annay,ZAG BLDV,27
62034,Annequin,ZAG BLDV,32
62035,Annezin,ZAG BLDV,32
59014,Anzin,ZAG BLDV,32
59015,Arleux,ZAG BLDV,32
59019,Artres,ZAG BLDV,32
59024,Auberchicourt,ZAG BLDV,32
59026,Aubigny-au-Bac,ZAG BLDV,32
59027,Aubry-du-Hainaut,ZAG BLDV,32
59028,Auby,ZAG BLDV,32
62048,Auchel,ZAG BLDV,32
62049,Auchy-au-Bois,ZAG BLDV,32
62051,Auchy-les-Mines,ZAG BLDV,32
59029,Auchy-lez-Orchies,ZAG BLDV,32
59032,Aulnoy-lez-Valenciennes,ZAG BLDV,32
59038,Avesnes-le-Sec,ZAG BLDV,32
62065,Avion,ZAG BLDV,32
62077,Bajus,ZAG BLDV,32
62083,Barlin,ZAG BLDV,32
59052,Bauvin,ZAG BLDV,32
59064,Bellaing,ZAG BLDV,32
62120,Beugin,ZAG BLDV,32
59079,Beuvrages,ZAG BLDV,32
62126,Beuvry,ZAG BLDV,32
59080,Beuvry-la-Forêt,ZAG BLDV,32
62132,Billy-Berclau,ZAG BLDV,32
62133,Billy-Montigny,ZAG BLDV,32
62141,Blessy,ZAG BLDV,32
62148,Bois-Bernard,ZAG BLDV,32
59088,Bois-Grenier,ZAG BLDV,32
59092,Bouchain,ZAG BLDV,32
62162,Bourecq,ZAG BLDV,32
59100,Bousignies,ZAG BLDV,32
59105,Bouvignies,ZAG BLDV,32
62170,Bouvigny-Boyeffles,ZAG BLDV,32
62173,Brebières,ZAG BLDV,32
59109,Brillon,ZAG BLDV,32
62178,Bruay-la-Buissière,ZAG BLDV,32
59112,Bruay-sur-l'Escaut,ZAG BLDV,32
59114,Bruille-Saint-Amand,ZAG BLDV,32
59113,Bruille-lez-Marchiennes,ZAG BLDV,32
59115,Brunémont,ZAG BLDV,32
59117,Bugnicourt,ZAG BLDV,32
62186,Bully-les-Mines,ZAG BLDV,32
62188,Burbure,ZAG BLDV,32
62190,Busnes,ZAG BLDV,32
62107,Bénifontaine,ZAG BLDV,32
62119,Béthune,ZAG BLDV,32
62194,Calonne-Ricouart,ZAG BLDV,32
62195,Calonne-sur-la-Lys,ZAG BLDV,32
62197,Camblain-Châtelain,ZAG BLDV,32
62200,Cambrin,ZAG BLDV,32
59126,Cantin,ZAG BLDV,32
62213,Carency,ZAG BLDV,32
62215,Carvin,ZAG BLDV,32
62217,Cauchy-à-la-Tour,ZAG BLDV,32
62218,Caucourt,ZAG BLDV,32
62224,Chocques,ZAG BLDV,32
59144,Château-l'Abbaye,ZAG BLDV,32
59153,Condé-sur-l'Escaut,ZAG BLDV,32
62240,Corbehem,ZAG BLDV,32
62249,Courcelles-lès-Lens,ZAG BLDV,32
59156,Courchelettes,ZAG BLDV,32
62250,Courrières,ZAG BLDV,32
59158,Coutiches,ZAG BLDV,32
12085,Crespin,ZAG BLDV,76
62262,Cuinchy,ZAG BLDV,32
59165,Cuincy,ZAG BLDV,32
59166,Curgies,ZAG BLDV,32
59170,Dechy,ZAG BLDV,32
59172,Denain,ZAG BLDV,32
62270,Divion,ZAG BLDV,32
62269,Diéval,ZAG BLDV,32
59178,Douai,ZAG BLDV,32
59179,Douchy-les-Mines,ZAG BLDV,32
62274,Dourges,ZAG BLDV,32
62276,Douvrin,ZAG BLDV,32
62277,Drocourt,ZAG BLDV,32
62278,Drouvin-le-Marais,ZAG BLDV,32
62286,Ecquedecques,ZAG BLDV,32
59199,Erchin,ZAG BLDV,32
59203,Erre,ZAG BLDV,32
59205,Escaudain,ZAG BLDV,32
59207,Escautpont,ZAG BLDV,32
59211,Esquerchin,ZAG BLDV,32
62310,Essars,ZAG BLDV,32
59212,Estaires,ZAG BLDV,32
62311,Estevelles,ZAG BLDV,32
59215,Estreux,ZAG BLDV,32
62313,Estrée-Blanche,ZAG BLDV,32
62314,Estrée-Cauchy,ZAG BLDV,32
02291,Estrées,ZAG BLDV,32
59221,Famars,ZAG BLDV,32
59222,Faumont,ZAG BLDV,32
59227,Fenain,ZAG BLDV,32
62328,Ferfay,ZAG BLDV,32
62330,Festubert,ZAG BLDV,32
59234,Flers-en-Escrebieux,ZAG BLDV,32
62338,Fleurbaix,ZAG BLDV,32
59239,Flines-lez-Raches,ZAG BLDV,32
59238,Flines-lès-Mortagne,ZAG BLDV,32
62349,Fouquereuil,ZAG BLDV,32
62350,Fouquières-lès-Béthune,ZAG BLDV,32
62351,Fouquières-lès-Lens,ZAG BLDV,32
59253,Fresnes-sur-Escaut,ZAG BLDV,32
62356,Fresnicourt-le-Dolmen,ZAG BLDV,32
59254,Fressain,ZAG BLDV,32
59224,Féchain,ZAG BLDV,32
59228,Férin,ZAG BLDV,32
62366,Gauchin-Légal,ZAG BLDV,32
62371,Givenchy-en-Gohelle,ZAG BLDV,32
62373,Givenchy-lès-la-Bassée,ZAG BLDV,32
62376,Gonnehem,ZAG BLDV,32
62377,Gosnay,ZAG BLDV,32
62380,Gouy-Servins,ZAG BLDV,32
62391,Guarbecque,ZAG BLDV,32
59276,Guesnain,ZAG BLDV,32
59263,Gœulzin,ZAG BLDV,32
62400,Haillicourt,ZAG BLDV,32
62401,Haisnes,ZAG BLDV,32
62407,Ham-en-Artois,ZAG BLDV,32
59280,Hamel,ZAG BLDV,32
62413,Harnes,ZAG BLDV,32
59284,Hasnon,ZAG BLDV,32
59285,Haspres,ZAG BLDV,32
59288,Haulchin,ZAG BLDV,32
59292,Haveluy,ZAG BLDV,32
59293,Haverskerque,ZAG BLDV,32
59301,Hergnies,ZAG BLDV,32
62441,Hermin,ZAG BLDV,32
62443,Hersin-Coupigny,ZAG BLDV,32
62445,Hesdigneul-lès-Béthune,ZAG BLDV,32
62454,Hinges,ZAG BLDV,32
59313,Hordain,ZAG BLDV,32
59314,Hornaing,ZAG BLDV,32
62456,Houchin,ZAG BLDV,32
62457,Houdain,ZAG BLDV,32
62464,Hulluch,ZAG BLDV,32
59297,Hélesmes,ZAG BLDV,32
62427,Hénin-Beaumont,ZAG BLDV,32
59302,Hérin,ZAG BLDV,32
59320,Illies,ZAG BLDV,32
62473,Isbergues,ZAG BLDV,32
62479,Labeuvrière,ZAG BLDV,32
62480,Labourse,ZAG BLDV,32
59327,Lallaing,ZAG BLDV,32
62486,Lambres,ZAG BLDV,32
59329,Lambres-lez-Douai,ZAG BLDV,32
59330,Landas,ZAG BLDV,32
62489,Lapugnoy,ZAG BLDV,32
59334,Lauwin-Planque,ZAG BLDV,32
62491,Laventie,ZAG BLDV,32
59335,Lecelles,ZAG BLDV,32
62497,Leforest,ZAG BLDV,32
62498,Lens,ZAG BLDV,32
62500,Lespesses,ZAG BLDV,32
62502,Lestrem,ZAG BLDV,32
59345,Lewarde,ZAG BLDV,32
62907,Libercourt,ZAG BLDV,32
62509,Liettres,ZAG BLDV,32
59348,Lieu-Saint-Amand,ZAG BLDV,32
62512,Ligny-lès-Aire,ZAG BLDV,32
62516,Lillers,ZAG BLDV,32
62517,Linghem,ZAG BLDV,32
62508,Lières,ZAG BLDV,32
62510,Liévin,ZAG BLDV,32
62520,Locon,ZAG BLDV,32
59354,Loffre,ZAG BLDV,32
62523,Loison-sous-Lens,ZAG BLDV,32
62528,Loos-en-Gohelle,ZAG BLDV,32
62529,Lorgies,ZAG BLDV,32
59361,Lourches,ZAG BLDV,32
62532,Lozinghem,ZAG BLDV,32
59336,Lécluse,ZAG BLDV,32
59369,Maing,ZAG BLDV,32
62540,Maisnil-lès-Ruitz,ZAG BLDV,32
59375,Marchiennes,ZAG BLDV,32
59379,Marcq-en-Ostrevent,ZAG BLDV,32
62555,Marles-les-Mines,ZAG BLDV,32
59387,Marquette-en-Ostrevant,ZAG BLDV,32
59390,Masny,ZAG BLDV,32
59391,Mastaing,ZAG BLDV,32
59393,Maulde,ZAG BLDV,32
62563,Mazingarbe,ZAG BLDV,32
62564,Mazinghem,ZAG BLDV,32
31341,Merville,ZAG BLDV,76
62573,Meurchin,ZAG BLDV,32
59403,Millonfosse,ZAG BLDV,32
59408,Moncheaux,ZAG BLDV,32
59409,Monchecourt,ZAG BLDV,32
62584,Mont-Bernanchon,ZAG BLDV,32
62587,Montigny-en-Gohelle,ZAG BLDV,32
59414,Montigny-en-Ostrevent,ZAG BLDV,32
59418,Mortagne-du-Nord,ZAG BLDV,32
62570,Méricourt,ZAG BLDV,32
59423,Neuf-Berquin,ZAG BLDV,32
62606,Neuve-Chapelle,ZAG BLDV,32
59429,Neuville-sur-Escaut,ZAG BLDV,32
59434,Nivelle,ZAG BLDV,32
59435,Nomain,ZAG BLDV,32
62620,Norrent-Fontes,ZAG BLDV,32
62624,Noyelles-Godault,ZAG BLDV,32
62626,Noyelles-lès-Vermelles,ZAG BLDV,32
62628,Noyelles-sous-Lens,ZAG BLDV,32
59440,Noyelles-sur-Selle,ZAG BLDV,32
62617,Nœux-les-Mines,ZAG BLDV,32
62632,Oblinghem,ZAG BLDV,32
59444,Odomez,ZAG BLDV,32
62637,Oignies,ZAG BLDV,32
02569,Oisy,ZAG BLDV,32
59447,Onnaing,ZAG BLDV,32
59449,Orchies,ZAG BLDV,32
59452,Ostricourt,ZAG BLDV,32
62642,Ourton,ZAG BLDV,32
59456,Pecquencourt,ZAG BLDV,32
59459,Petite-Forêt,ZAG BLDV,32
62666,Pont-à-Vendin,ZAG BLDV,32
59475,Prouvy,ZAG BLDV,32
59477,Provin,ZAG BLDV,32
59471,Préseau,ZAG BLDV,32
59479,Quarouble,ZAG BLDV,32
62676,Quernes,ZAG BLDV,32
62681,Quiestède,ZAG BLDV,32
59484,Quiévrechain,ZAG BLDV,32
59480,Quérénaing,ZAG BLDV,32
59489,Raimbeaucourt,ZAG BLDV,32
59491,Raismes,ZAG BLDV,32
62693,Rebreuve-Ranchicourt,ZAG BLDV,32
62701,Rely,ZAG BLDV,32
52422,Richebourg,ZAG BLDV,44
59501,Rieulay,ZAG BLDV,32
62713,Robecq,ZAG BLDV,32
59505,Rombies-et-Marchipont,ZAG BLDV,32
62720,Rombly,ZAG BLDV,32
59509,Roost-Warendin,ZAG BLDV,32
62721,Roquetoire,ZAG BLDV,32
59511,Rosult,ZAG BLDV,32
59513,Roucourt,ZAG BLDV,32
59515,Rouvignies,ZAG BLDV,32
02659,Rouvroy,ZAG BLDV,32
62727,Ruitz,ZAG BLDV,32
59519,Rumegies,ZAG BLDV,32
59486,Râches,ZAG BLDV,32
59504,Rœulx,ZAG BLDV,32
62735,Sailly-Labourse,ZAG BLDV,32
62736,Sailly-sur-la-Lys,ZAG BLDV,32
62737,Sains-en-Gohelle,ZAG BLDV,32
59526,Saint-Amand-les-Eaux,ZAG BLDV,32
59530,Saint-Aybert,ZAG BLDV,32
62747,Saint-Floris,ZAG BLDV,32
