,code_commune_insee,nom_commune_complet,code_region,zas
0,1027,Balan,84,ZR AUVERGNE-RHONE-ALPES
1,1028,Baneins,84,ZR AUVERGNE-RHONE-ALPES
2,1029,Beaupont,84,ZR AUVERGNE-RHONE-ALPES
3,1030,Beauregard,84,ZR AUVERGNE-RHONE-ALPES
4,1031,Bellignat,84,ZR AUVERGNE-RHONE-ALPES
5,1032,Béligneux,84,ZR AUVERGNE-RHONE-ALPES
6,1033,Bellegarde-sur-Valserine,84,ZR AUVERGNE-RHONE-ALPES
7,1034,Belley,84,ZR AUVERGNE-RHONE-ALPES
8,1035,Belleydoux,84,ZR AUVERGNE-RHONE-ALPES
9,1036,Belmont-Luthézieu,84,ZR AUVERGNE-RHONE-ALPES
10,1037,Bénonces,84,ZR AUVERGNE-RHONE-ALPES
11,1038,Bény,84,ZR AUVERGNE-RHONE-ALPES
12,1039,Béon,84,ZR AUVERGNE-RHONE-ALPES
13,1040,Béréziat,84,ZR AUVERGNE-RHONE-ALPES
14,1041,Bettant,84,ZR AUVERGNE-RHONE-ALPES
15,1042,Bey,84,ZR AUVERGNE-RHONE-ALPES
16,1043,Beynost,84,ZR AUVERGNE-RHONE-ALPES
17,1044,Billiat,84,ZR AUVERGNE-RHONE-ALPES
18,1045,Birieux,84,ZR AUVERGNE-RHONE-ALPES
19,1046,Biziat,84,ZR BOURGOGNE-FRANCHE-COMTE
20,1047,Blyes,84,ZR BOURGOGNE-FRANCHE-COMTE
21,1049,La Boisse,84,ZR BOURGOGNE-FRANCHE-COMTE
22,1050,Boissey,84,ZR BOURGOGNE-FRANCHE-COMTE
23,1051,Bolozon,84,ZR BOURGOGNE-FRANCHE-COMTE
24,1052,Bouligneux,84,ZR BOURGOGNE-FRANCHE-COMTE
25,1053,Bourg-en-Bresse,84,ZR BOURGOGNE-FRANCHE-COMTE
26,1054,Bourg-Saint-Christophe,84,ZR BOURGOGNE-FRANCHE-COMTE
27,1056,Boyeux-Saint-Jérôme,84,ZR BOURGOGNE-FRANCHE-COMTE
28,1057,Boz,84,ZR BOURGOGNE-FRANCHE-COMTE
29,1058,Brégnier-Cordon,84,ZR BOURGOGNE-FRANCHE-COMTE
30,1059,Brénaz,84,ZR BOURGOGNE-FRANCHE-COMTE
31,1060,Brénod,84,ZR BOURGOGNE-FRANCHE-COMTE
32,1061,Brens,84,ZR BOURGOGNE-FRANCHE-COMTE
33,1062,Bressolles,84,ZR BOURGOGNE-FRANCHE-COMTE
34,1063,Brion,84,ZR BOURGOGNE-FRANCHE-COMTE
35,1064,Briord,84,ZR BOURGOGNE-FRANCHE-COMTE
36,1065,Buellas,84,ZR BRETAGNE
37,1066,La Burbanche,84,ZR BRETAGNE
38,1067,Ceignes,84,ZR BRETAGNE
39,1068,Cerdon,84,ZR BRETAGNE
40,1069,Certines,84,ZR BRETAGNE
41,1071,Cessy,84,ZR BRETAGNE
42,1072,Ceyzériat,84,ZR BRETAGNE
43,1073,Ceyzérieu,84,ZR BRETAGNE
44,1074,Chalamont,84,ZR BRETAGNE
45,1075,Chaleins,84,ZR BRETAGNE
46,1076,Chaley,84,ZR BRETAGNE
47,1077,Challes-la-Montagne,84,ZR BRETAGNE
48,1078,Challex,84,ZR BRETAGNE
49,1079,Champagne-en-Valromey,84,ZR BRETAGNE
50,1080,Champdor-Corcelles,84,ZR BRETAGNE
51,1081,Champfromier,84,ZR BRETAGNE
52,1082,Chanay,84,ZR BRETAGNE
53,1083,Chaneins,84,ZR BRETAGNE
54,1084,Chanoz-Châtenay,84,ZR CENTRE-VAL DE LOIRE
55,1085,La Chapelle-du-Châtelard,84,ZR CENTRE-VAL DE LOIRE
56,1087,Charix,84,ZR CENTRE-VAL DE LOIRE
57,1088,Charnoz-sur-Ain,84,ZR CENTRE-VAL-DE-LOIRE
58,1089,Château-Gaillard,84,ZR CENTRE-VAL-DE-LOIRE
59,1090,Châtenay,84,ZR CENTRE-VAL-DE-LOIRE
60,1091,Châtillon-en-Michaille,84,ZR CENTRE-VAL-DE-LOIRE
61,1092,Châtillon-la-Palud,84,ZR CENTRE-VAL-DE-LOIRE
62,1093,Châtillon-sur-Chalaronne,84,ZR CENTRE-VAL-DE-LOIRE
63,1094,Chavannes-sur-Reyssouze,84,ZR CENTRE-VAL-DE-LOIRE
64,1095,Nivigne et Suran,84,ZR CENTRE-VAL-DE-LOIRE
65,1096,Chaveyriat,84,ZR CENTRE-VAL-DE-LOIRE
66,1097,Chavornay,84,ZR CENTRE-VAL-DE-LOIRE
67,1098,Chazey-Bons,84,ZR CENTRE-VAL-DE-LOIRE
68,1099,Chazey-sur-Ain,84,ZR CENTRE-VAL-DE-LOIRE
69,1100,Cheignieu-la-Balme,84,ZR CENTRE-VAL-DE-LOIRE
70,1101,Chevillard,84,ZR CENTRE-VAL-DE-LOIRE
71,1102,Chevroux,84,ZR CENTRE-VAL-DE-LOIRE
72,1103,Chevry,84,ZR CORSE
73,1104,Chézery-Forens,84,ZR CORSE
74,1105,Civrieux,84,ZR CORSE
75,1106,Cize,84,ZR CORSE
76,1107,Cleyzieu,84,ZR CORSE
77,1108,Coligny,84,ZR CORSE
