,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
0,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-09 23:00:00,2018,9,,3
1,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-09 23:00:00,2018,9,,3
2,,ATMO,,0,FR38016,ZAR VOLCAN,2018-09-16 23:00:00,2018,9,,3
3,,ATMO,,0,FR29424,ZAG SAINT-ETIENNE,2018-09-11 23:00:00,2018,9,,3
4,,ATMO,,2,FR36001,ZAR VALLEE-DU-RHONE,2018-09-13 23:00:00,2018,9,,3
5,,ATMO,,0,FR30019,ZR GRAND-EST,2018-06-17 23:00:00,2018,6,,2
6,,ATMO,,0,FR30019,ZR GRAND-EST,2018-06-18 23:00:00,2018,6,,2
7,,ATMO,,1,FR30019,ZR GRAND-EST,2018-07-21 23:00:00,2018,7,,3
8,,ATMO,,0,FR22009,ZR GRAND-EST,2018-09-08 23:00:00,2018,9,,3
9,,ATMO,,0,FR09003,ZR NOUVELLE-AQUITAINE,2018-09-12 23:00:00,2018,9,,3
10,,ATMO,,0,FR35002,ZR NOUVELLE-AQUITAINE,2018-09-14 23:00:00,2018,9,,3
11,,ATMO,,0,FR09003,ZR NOUVELLE-AQUITAINE,2018-09-15 23:00:00,2018,9,,3
12,,ATMO,,0,FR38002,ZAR SAINT-DENIS,2018-08-20 23:00:00,2018,8,,3
13,,ATMO,,0,FR38016,ZAR VOLCAN,2018-08-24 23:00:00,2018,8,,3
14,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-11 23:00:00,2018,9,,3
15,,ATMO,,0,FR15013,ZAG GRENOBLE,2018-09-14 23:00:00,2018,9,,3
16,,ATMO,,1,FR12041,ZAG TOULOUSE,2018-08-27 23:00:00,2018,8,,3
17,,ATMO,,0,FR31001,ZAG BORDEAUX,2018-09-11 23:00:00,2018,9,,3
18,,ATMO,,0,FR07004,ZAG CLERMONT-FERRAND,2018-09-17 23:00:00,2018,9,,3
19,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-17 23:00:00,2018,9,,3
20,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-17 23:00:00,2018,9,,3
21,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-09-18 23:00:00,2018,9,,3
22,,ATMO,,0,FR20013,ZAG LYON,2018-09-18 23:00:00,2018,9,,3
23,,ATMO,,0,FR82006,ZAR BESANCON,2018-09-10 23:00:00,2018,9,,3
24,,ATMO,,3,FR19002,ZAG RENNES,2018-09-18 23:00:00,2018,9,,3
25,,ATMO,,3,FR19002,ZAG RENNES,2018-09-18 23:00:00,2018,9,,3
26,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-18 23:00:00,2018,9,,3
27,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-18 23:00:00,2018,9,,3
28,,ATMO,,0,FR34013,ZAG ORLEANS,2018-09-19 23:00:00,2018,9,,3
29,,ATMO,,0,FR04002,ZAG PARIS,2018-09-10 23:00:00,2018,9,,3
30,,ATMO,,0,FR32001,ZAR CHALON,2018-09-14 23:00:00,2018,9,,3
31,,ATMO,,0,FR31001,ZAG BORDEAUX,2018-09-19 23:00:00,2018,9,,3
32,,ATMO,,3,FR19002,ZAG RENNES,2018-09-20 23:00:00,2018,9,,3
33,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-19 23:00:00,2018,9,,3
34,,ATMO,,0,FR38017,ZAR VOLCAN,2018-09-20 23:00:00,2018,9,,3
35,,ATMO,,0,FR23178,ZAG NANTES-SAINT-NAZAIRE,2018-02-18 23:00:00,2018,2,,1
36,,ATMO,,0,FR04179,ZAG PARIS,2018-08-10 23:00:00,2018,8,,3
37,,ATMO,,1,FR24007,ZAG NICE,2018-09-14 23:00:00,2018,9,,3
38,,ATMO,,0,FR28010,ZAG BLDV,2018-09-20 23:00:00,2018,9,,3
39,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-20 23:00:00,2018,9,,3
40,,ATMO,,0,FR38017,ZAR VOLCAN,2018-09-21 23:00:00,2018,9,,3
41,,ATMO,,0,FR33101,ZAR PAYS-DE-SAVOIE,2018-09-10 23:00:00,2018,9,,3
42,,ATMO,,0,FR04002,ZAG PARIS,2018-09-10 23:00:00,2018,9,,3
43,,ATMO,,0,FR04002,ZAG PARIS,2018-09-15 23:00:00,2018,9,,3
44,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-21 23:00:00,2018,9,,3
45,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-22 23:00:00,2018,9,,3
46,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-09-21 23:00:00,2018,9,,3
47,,ATMO,,0,FR04002,ZAG PARIS,2018-09-13 23:00:00,2018,9,,3
48,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-16 23:00:00,2018,9,,3
49,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-16 23:00:00,2018,9,,3
50,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-01-11 23:00:00,2018,1,,1
51,,ATMO,,0,FR34013,ZAG ORLEANS,2018-09-22 23:00:00,2018,9,,3
52,,ATMO,,0,FR35002,ZR NOUVELLE-AQUITAINE,2018-07-03 23:00:00,2018,7,,3
53,,ATMO,,0,FR35002,ZR NOUVELLE-AQUITAINE,2018-08-20 23:00:00,2018,8,,3
54,,ATMO,,0,FR09003,ZR NOUVELLE-AQUITAINE,2018-09-15 23:00:00,2018,9,,3
55,,ATMO,,0,FR26005,ZAR DIJON,2018-09-21 23:00:00,2018,9,,3
56,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-09-23 23:00:00,2018,9,,3
