,year,year_quarter,code_commune_INSEE,code_departement,ATMO_quarter
0,2021,2021T1,84132,84,3
0,2021,2021T1,84001,84,3
0,2021,2021T1,84004,84,3
0,2021,2021T1,84007,84,3
0,2021,2021T1,13010,13,3
0,2021,2021T1,84012,84,3
0,2021,2021T1,84013,84,3
0,2021,2021T1,84019,84,3
0,2021,2021T1,84016,84,3
0,2021,2021T1,13018,13,3
0,2021,2021T1,84025,84,3
0,2021,2021T1,84027,84,3
0,2021,2021T1,84030,84,3
0,2021,2021T1,84031,84,3
0,2021,2021T1,84034,84,3
0,2021,2021T1,84035,84,3
0,2021,2021T1,84038,84,3
0,2021,2021T1,84036,84,3
0,2021,2021T1,84037,84,3
0,2021,2021T1,13027,13,3
0,2021,2021T1,84039,84,3
0,2021,2021T1,84043,84,3
0,2021,2021T1,13034,13,3
0,2021,2021T1,13036,13,3
0,2021,2021T1,84139,84,3
0,2021,2021T1,84050,84,3
0,2021,2021T1,84051,84,3
0,2021,2021T1,13045,13,3
0,2021,2021T1,84055,84,3
0,2021,2021T1,11176,11,3
0,2021,2021T1,84062,84,3
0,2021,2021T1,84063,84,3
0,2021,2021T1,84064,84,3
0,2021,2021T1,84067,84,3
0,2021,2021T1,13052,13,3
0,2021,2021T1,38223,38,3
0,2021,2021T1,84072,84,3
0,2021,2021T1,84077,84,3
0,2021,2021T1,13064,13,3
0,2021,2021T1,84078,84,3
0,2021,2021T1,84080,84,3
0,2021,2021T1,84081,84,3
0,2021,2021T1,84083,84,3
0,2021,2021T1,84073,84,3
0,2021,2021T1,13066,13,3
0,2021,2021T1,84086,84,3
0,2021,2021T1,84087,84,3
0,2021,2021T1,13067,13,3
0,2021,2021T1,84088,84,3
0,2021,2021T1,84091,84,3
0,2021,2021T1,13076,13,3
0,2021,2021T1,84099,84,3
0,2021,2021T1,13083,13,3
0,2021,2021T1,13089,13,3
0,2021,2021T1,21546,21,3
0,2021,2021T1,46285,46,3
0,2021,2021T1,84119,84,3
0,2021,2021T1,84122,84,3
0,2021,2021T1,84124,84,3
0,2021,2021T1,84129,84,3
0,2021,2021T1,84131,84,3
0,2021,2021T1,84141,84,3
0,2021,2021T1,84142,84,3
0,2021,2021T1,13116,13,3
0,2021,2021T1,30351,30,3
1,2021,2021T2,84132,84,2
1,2021,2021T2,84001,84,2
1,2021,2021T2,84004,84,2
1,2021,2021T2,84007,84,2
1,2021,2021T2,13010,13,2
1,2021,2021T2,84012,84,2
1,2021,2021T2,84013,84,2
1,2021,2021T2,84019,84,2
1,2021,2021T2,84016,84,2
1,2021,2021T2,13018,13,2
1,2021,2021T2,84025,84,2
1,2021,2021T2,84027,84,2
1,2021,2021T2,84030,84,2
1,2021,2021T2,84031,84,2
1,2021,2021T2,84034,84,2
1,2021,2021T2,84035,84,2
1,2021,2021T2,84038,84,2
1,2021,2021T2,84036,84,2
1,2021,2021T2,84037,84,2
1,2021,2021T2,13027,13,2
1,2021,2021T2,84039,84,2
1,2021,2021T2,84043,84,2
1,2021,2021T2,13034,13,2
1,2021,2021T2,13036,13,2
1,2021,2021T2,84139,84,2
1,2021,2021T2,84050,84,2
1,2021,2021T2,84051,84,2
1,2021,2021T2,13045,13,2
1,2021,2021T2,84055,84,2
1,2021,2021T2,11176,11,2
1,2021,2021T2,84062,84,2
1,2021,2021T2,84063,84,2
1,2021,2021T2,84064,84,2
1,2021,2021T2,84067,84,2
1,2021,2021T2,13052,13,2
1,2021,2021T2,38223,38,2
1,2021,2021T2,84072,84,2
1,2021,2021T2,84077,84,2
1,2021,2021T2,13064,13,2
1,2021,2021T2,84078,84,2
1,2021,2021T2,84080,84,2
1,2021,2021T2,84081,84,2
1,2021,2021T2,84083,84,2
1,2021,2021T2,84073,84,2
1,2021,2021T2,13066,13,2
1,2021,2021T2,84086,84,2
1,2021,2021T2,84087,84,2
1,2021,2021T2,13067,13,2
1,2021,2021T2,84088,84,2
1,2021,2021T2,84091,84,2
1,2021,2021T2,13076,13,2
1,2021,2021T2,84099,84,2
1,2021,2021T2,13083,13,2
1,2021,2021T2,13089,13,2
1,2021,2021T2,21546,21,2
1,2021,2021T2,46285,46,2
1,2021,2021T2,84119,84,2
1,2021,2021T2,84122,84,2
1,2021,2021T2,84124,84,2
1,2021,2021T2,84129,84,2
1,2021,2021T2,84131,84,2
1,2021,2021T2,84141,84,2
1,2021,2021T2,84142,84,2
1,2021,2021T2,13116,13,2
1,2021,2021T2,30351,30,2
2,2021,2021T3,84132,84,2
2,2021,2021T3,84001,84,2
2,2021,2021T3,84004,84,2
2,2021,2021T3,84007,84,2
2,2021,2021T3,13010,13,2
2,2021,2021T3,84012,84,2
2,2021,2021T3,84013,84,2
2,2021,2021T3,84019,84,2
2,2021,2021T3,84016,84,2
2,2021,2021T3,13018,13,2
2,2021,2021T3,84025,84,2
2,2021,2021T3,84027,84,2
2,2021,2021T3,84030,84,2
2,2021,2021T3,84031,84,2
2,2021,2021T3,84034,84,2
2,2021,2021T3,84035,84,2
2,2021,2021T3,84038,84,2
2,2021,2021T3,84036,84,2
2,2021,2021T3,84037,84,2
2,2021,2021T3,13027,13,2
2,2021,2021T3,84039,84,2
2,2021,2021T3,84043,84,2
2,2021,2021T3,13034,13,2
2,2021,2021T3,13036,13,2
2,2021,2021T3,84139,84,2
2,2021,2021T3,84050,84,2
2,2021,2021T3,84051,84,2
